Timestamp,CameraLocation,Emotion,Confidence
2025-04-05 14:14:50.912,Museum Entrance,Fear,0.4078789949417114
2025-04-05 14:14:51.141,Museum Entrance,Neutral,0.41335976123809814
2025-04-05 14:14:51.363,Museum Entrance,Neutral,0.5976598858833313
2025-04-05 14:14:51.596,Museum Entrance,Neutral,0.4847090244293213
2025-04-05 14:14:51.597,Museum Entrance,Fear,0.34226515889167786
2025-04-05 14:14:51.833,Museum Entrance,Neutral,0.557797908782959
2025-04-05 14:14:51.834,Museum Entrance,Fear,0.36507874727249146
2025-04-05 14:14:52.061,Museum Entrance,Neutral,0.5045310258865356
2025-04-05 14:14:52.062,Museum Entrance,Fear,0.5921584963798523
2025-04-05 14:14:52.289,Museum Entrance,Neutral,0.6013520359992981
2025-04-05 14:14:52.527,Museum Entrance,Neutral,0.5264988541603088
2025-04-05 14:14:52.528,Museum Entrance,Fear,0.3629673421382904
2025-04-05 14:14:52.755,Museum Entrance,Neutral,0.53509122133255
2025-04-05 14:14:52.984,Museum Entrance,Neutral,0.5028834939002991
2025-04-05 14:14:53.211,Museum Entrance,Neutral,0.5693880319595337
2025-04-05 14:14:53.470,Museum Entrance,Neutral,0.6508215665817261
2025-04-05 14:14:53.718,Museum Entrance,Neutral,0.5291475057601929
2025-04-05 14:14:53.719,Museum Entrance,Fear,0.32651373744010925
2025-04-05 14:14:53.977,Museum Entrance,Neutral,0.6613224744796753
2025-04-05 14:14:53.978,Museum Entrance,Fear,0.3972366452217102
2025-04-05 14:14:54.230,Museum Entrance,Neutral,0.5393130779266357
2025-04-05 14:14:54.231,Museum Entrance,Fear,0.38056814670562744
2025-04-05 14:14:54.489,Museum Entrance,Neutral,0.5340772867202759
2025-04-05 14:14:54.776,Museum Entrance,Neutral,0.548875629901886
2025-04-05 14:14:55.162,Museum Entrance,Neutral,0.6163166165351868
2025-04-05 14:14:55.424,Museum Entrance,Neutral,0.5952702164649963
2025-04-05 14:14:55.689,Museum Entrance,Neutral,0.5561310648918152
2025-04-05 14:14:55.946,Museum Entrance,Neutral,0.4975791871547699
2025-04-05 14:14:56.211,Museum Entrance,Fear,0.46383798122406006
2025-04-05 14:14:56.467,Museum Entrance,Fear,0.4104194641113281
2025-04-05 14:14:56.468,Museum Entrance,Neutral,0.37437891960144043
2025-04-05 14:14:56.718,Museum Entrance,Neutral,0.4562252461910248
2025-04-05 14:14:56.975,Museum Entrance,Neutral,0.47439730167388916
2025-04-05 14:14:57.232,Museum Entrance,Neutral,0.4462502598762512
2025-04-05 14:14:57.481,Museum Entrance,Neutral,0.5115733742713928
2025-04-05 14:14:57.755,Museum Entrance,Neutral,0.7350937724113464
2025-04-05 14:14:58.011,Museum Entrance,Neutral,0.9021775126457214
2025-04-05 14:14:58.239,Museum Entrance,Happy,0.8761696815490723
2025-04-05 14:14:58.477,Museum Entrance,Happy,0.9744712114334106
2025-04-05 14:14:58.710,Museum Entrance,Happy,0.9801329374313354
2025-04-05 14:14:58.925,Museum Entrance,Happy,0.9848500490188599
2025-04-05 14:14:59.160,Museum Entrance,Happy,0.978861391544342
2025-04-05 14:14:59.397,Museum Entrance,Neutral,0.821588933467865
2025-04-05 14:14:59.636,Museum Entrance,Neutral,0.7381287813186646
2025-04-05 14:14:59.874,Museum Entrance,Neutral,0.7203873991966248
